season,Equipo,puntos_100,puntos_total,gps_disputados
1950,Sauber,71.429,50.0,6.0
1950,Maserati,66.889,46.822,7.0
1950,Talbot-Lago,62.66,43.862,6.0
1950,Ferrari,53.796,37.657,5.0
1950,Simca,29.229,20.46,3.0
1950,ERA,29.177,20.424,3.0
1950,Alta,19.629,13.74,2.0
1950,Deidt,10.504,7.353,1.0
1950,Moore,10.114,7.08,1.0
1950,Lesovsky,9.943,6.96,1.0
1950,Nichels,9.943,6.96,1.0
1950,Stevens,9.943,6.96,1.0
1950,Marchese,9.857,6.9,1.0
1950,Kurtis Kraft,9.214,6.45,1.0
1950,Cooper,8.143,5.7,1.0
1950,Ewing,7.886,5.52,1.0
1950,Langley,7.714,5.4,1.0
1950,Adams,7.029,4.92,1.0
1950,Rae,6.857,4.8,1.0
1950,Snowberger,6.771,4.74,1.0
1950,Olson,6.6,4.62,1.0
1950,Wetteroth,6.6,4.62,1.0
1950,Milano,6.514,4.56,1.0
1950,Watson,6.329,4.43,1.0
1951,Sauber,70.61,56.488,7.0
1951,Ferrari,69.435,55.548,7.0
1951,Talbot-Lago,60.366,48.293,7.0
1951,Maserati,43.05,34.44,6.0
1951,Simca,34.131,27.305,4.0
1951,BRM,16.688,13.35,2.0
1951,Moore,9.3,7.44,1.0
1951,ERA,9.225,7.38,1.0
1951,OSCA,8.775,7.02,1.0
1951,Sherman,8.55,6.84,1.0
1951,Kurtis Kraft,8.462,6.77,1.0
1951,Deidt,8.413,6.73,1.0
1951,HWM,8.325,6.66,1.0
1951,Kuzma,8.175,6.54,1.0
1951,Alta,7.875,6.3,1.0
1951,Veritas,7.125,5.7,1.0
1951,Marchese,7.05,5.64,1.0
1951,Pawl,7.05,5.64,1.0
1951,Schroeder,7.013,5.61,1.0
1951,Hall,6.15,4.92,1.0
1951,Trevis,5.625,4.5,1.0
1951,Bromme,5.55,4.44,1.0
1951,Lesovsky,5.438,4.35,1.0
1951,Watson,4.575,3.66,1.0
1952,Ferrari,72.074,57.659,8.0
1952,Gordini,63.275,50.62,7.0
1952,Cooper,54.404,43.523,6.0
1952,HWM,49.939,39.951,6.0
1952,Maserati,47.194,37.755,6.0
1952,Simca,41.025,32.82,5.0
1952,Frazer Nash,33.9,27.12,4.0
1952,Connaught,26.444,21.155,3.0
1952,Veritas,23.196,18.557,3.0
1952,ERA,22.425,17.94,3.0
1952,Aston Butterworth,19.019,15.215,3.0
1952,Alta,16.875,13.5,2.0
1952,AFM,16.313,13.05,2.0
1952,Kuzma,10.8,8.64,1.0
1952,Sherman,8.25,6.6,1.0
1952,Lesovsky,8.175,6.54,1.0
1952,Kurtis Kraft,7.788,6.23,1.0
1952,Watson,7.725,6.18,1.0
1952,Trevis,7.275,5.82,1.0
1952,OSCA,7.125,5.7,1.0
1952,BMW,6.956,5.565,1.0
1952,Stevens,6.931,5.545,1.0
1952,Bromme,6.0,4.8,1.0
1952,Deidt,5.625,4.5,1.0
1953,Ferrari,70.078,63.07,8.0
1953,Maserati,67.358,60.622,8.0
1953,Gordini,59.253,53.328,8.0
1953,Cooper,52.098,46.888,7.0
1953,HWM,40.339,36.305,6.0
1953,Connaught,40.117,36.105,6.0
1953,Simca,13.6,12.24,2.0
1953,OSCA,13.067,11.76,2.0
1953,Veritas,11.943,10.749,2.0
1953,AFM,11.089,9.98,2.0
1953,Kurtis Kraft,7.31,6.579,1.0
1953,Kuzma,7.219,6.497,1.0
1953,Stevens,6.767,6.09,1.0
1953,BMW,6.333,5.7,1.0
1953,Schroeder,6.267,5.64,1.0
1953,EMW,5.933,5.34,1.0
1953,Turner,5.867,5.28,1.0
1953,Watson,5.6,5.04,1.0
1953,Bromme,5.444,4.9,1.0
1953,Lesovsky,5.2,4.68,1.0
1953,Del Roy,3.922,3.53,1.0
1954,Ferrari,66.39,59.751,8.0
1954,Maserati,63.226,56.903,8.0
1954,Gordini,59.817,53.835,8.0
1954,Mercedes,54.083,48.675,6.0
1954,Vanwall,19.889,17.9,3.0
1954,Phillips,8.867,7.98,1.0
1954,Kuzma,8.317,7.485,1.0
1954,Pankratz,7.467,6.72,1.0
1954,Lancia,7.4,6.66,1.0
1954,HWM,6.933,6.24,1.0
1954,Klenk,6.933,6.24,1.0
1954,Kurtis Kraft,6.84,6.156,1.0
1954,Connaught,6.787,6.108,1.0
1954,Nichels,6.733,6.06,1.0
1954,Stevens,6.489,5.84,1.0
1954,Pawl,6.2,5.58,1.0
1954,Cooper,5.45,4.905,1.0
1954,Schroeder,4.889,4.4,1.0
1954,Bromme,4.3,3.87,1.0
1955,Mercedes,69.55,48.685,6.0
1955,Ferrari,64.841,45.389,6.0
1955,Maserati,61.926,43.348,6.0
1955,Gordini,46.771,32.74,5.0
1955,Vanwall,37.857,26.5,4.0
1955,Lancia,32.379,22.665,3.0
1955,Kurtis Kraft,9.449,6.614,1.0
1955,Epperly,9.0,6.3,1.0
1955,Cooper,8.914,6.24,1.0
1955,Phillips,8.743,6.12,1.0
1955,Connaught,8.366,5.856,1.0
1955,Kuzma,8.271,5.79,1.0
1955,Pawl,8.229,5.76,1.0
1955,Stevens,7.857,5.5,1.0
1955,Trevis,7.757,5.43,1.0
1955,Schroeder,7.286,5.1,1.0
1955,Arzani-Volpini,7.057,4.94,1.0
1955,Pankratz,6.514,4.56,1.0
1956,Ferrari,68.624,54.899,7.0
1956,Maserati,63.764,51.011,7.0
1956,Vanwall,44.394,35.515,5.0
1956,Gordini,41.134,32.907,5.0
1956,Connaught,25.325,20.26,3.0
1956,BRM,15.088,12.07,2.0
1956,Watson,11.25,9.0,1.0
1956,Phillips,9.075,7.26,1.0
1956,Lesovsky,8.55,6.84,1.0
1956,Cooper,8.175,6.54,1.0
1956,Stevens,7.725,6.18,1.0
1956,Bugatti,7.575,6.06,1.0
1956,Kurtis Kraft,7.46,5.968,1.0
1956,Kuzma,7.41,5.928,1.0
1956,Emeryson,6.0,4.8,1.0
1957,Ferrari,69.929,55.943,7.0
1957,Maserati,65.732,52.586,7.0
1957,Vanwall,59.263,47.41,6.0
1957,Cooper,43.838,35.07,5.0
1957,BRM,26.213,20.97,3.0
1957,Epperly,9.563,7.65,1.0
1957,Connaught,9.263,7.41,1.0
1957,Phillips,8.925,7.14,1.0
1957,Kuzma,8.531,6.825,1.0
1957,Porsche,8.15,6.52,1.0
1957,Kurtis Kraft,7.455,5.964,1.0
1957,Lesovsky,7.069,5.655,1.0
1957,Watson,6.725,5.38,1.0
1957,Dunn,6.075,4.86,1.0
1958,Ferrari,72.482,79.73,10.0
1958,Cooper,67.919,74.711,10.0
1958,Vanwall,63.059,69.365,9.0
1958,Maserati,62.108,68.319,10.0
1958,BRM,61.032,67.135,9.0
1958,Team Lotus,56.364,62.0,9.0
1958,Porsche,12.436,13.68,2.0
1958,Epperly,7.186,7.905,1.0
1958,Phillips,6.873,7.56,1.0
1958,Watson,6.123,6.735,1.0
1958,Connaught,5.345,5.88,1.0
1958,Lesovsky,5.318,5.85,1.0
1958,Kurtis Kraft,5.287,5.816,1.0
1958,Kuzma,4.92,5.412,1.0
1958,Dunn,4.145,4.56,1.0
1959,Cooper-Climax,69.736,62.762,8.0
1959,Ferrari,61.26,55.134,7.0
1959,Team Lotus,60.489,54.44,8.0
1959,BRM,59.45,53.505,7.0
1959,Cooper-Maserati,54.044,48.64,7.0
1959,Aston Martin,31.8,28.62,4.0
1959,Maserati,27.144,24.43,4.0
1959,Porsche,23.667,21.3,3.0
1959,Cooper-Borgward,14.6,13.14,2.0
1959,Kurtis Kraft,13.909,12.518,2.0
